"BOARD_NUM","BOARD_WRITER","BOARD_TYPE","BOARD_TITLE","BOARD_CONTENT","REGDATE","REPLYCNT"
2,"샤토지훈 83","자유게시판","가난한 마음이 너무 아플때..","가난한 마음이 너무 아플때.. 십자가에 달리신 예수님의 이름으로 가슴을 찢으세요, 오직 사랑으로써. 
힘들어하는 형제, 자매들을 위해 이 메세지를 전해주세요. 예수님의 이름으로 간구합니다, 아멘. + ",21/07/18,0
4,"바로사","자유게시판","안녕하세요 호주 직산 와인 문의드립니다","호주에서 생산 되는 와인을 거래를 하고 싶은데 어디에 문의를 해야 하는지 알려주시면 고맙겠습니다...",21/07/18,0
5,"뱅쇼라떼","자유게시판","검색에 나오는 와인 가격 기준이 어떻게 되나요??","검색에 나오는 가격 기준이 어떻게 되는건가요??

일반 시중에서 구입할때 가격과는 차이가 좀 큰거 같아서요

비비노(vivino.com)이나 와인써쳐(wine-searcher.com)는 외국 사이트라 그런것 같은데

비노봇(vino-bot.com)이나 와쌉(wassap.co) 같은 국내 가격 사이트랑도 차이가 크더라구요..",21/07/18,0
6,"강윤석","자유게시판","Gabriel 가브리엘 골드에디션 글래스 수입하는 수입사 알고싶습니다","수입사를 알고 싶고, 업장에서 사용을 원합니다",21/07/18,0
7,"음악","자유게시판","로마네 꽁띠 DRC 와인 6병 시음회","로마네 꽁띠 DRC 와인 6병 시음회하려고 합니다.

14빈 로마네 꽁띠

14빈 라 따슈

14빈 리쉬부르

15빈 로마네 생 비방

14빈 그랑 에셰죠

15빈 에셰죠

부담을 최대한 낮추기 위해서 30분이 1병을 나눠서 시음할 예정입니다.

참가비 1인당 154만원

참가하실 분은 자유 게시판에 글 남겨 주세요.",21/07/18,0
8,"pjj218","자유게시판","이 와인좀 알려주세요.","Camus pere fils

charmes-chambertin grand cru

정보가 많이 없던데, 가격좀 알 수 있을까요?",21/07/18,0
9,"초리","자유게시판","구매 어떻게 하나요?","처음이라

여기서 와인사려면 누구한테 연락하나요?

구매하기 라고 따로 클릭이 없는건가요",21/07/18,0
10,"켄","자유게시판","중고오크통 전화번호교정","문자문의 전화번호가 010-5479-7843 입니다. 죄송.  중고오크통을

카페장식용으로 판매.  원산지-스페인입니다.   ",21/07/18,0
11,"켄","자유게시판","장식용중고오크통","을 팔려고 해요.  문자 010-5479-7743.  ",21/07/18,0
12,"과제바다","자유게시판","와인 세이버에 관한 간단한 설문조사입니다.","안녕하세요~ 계원예술대학교 산업디자인과 재학생입니다. 이번 과제로 와인 세이버라는 제품에 대한 설문조사를 진행하고있습니다. 

예상 설문소요 시간은 3~4분 입니다.  참여해주시면 정말 감사하겠습니다 ?(?????)?
구글 설문 링크 : https://docs.google.com/forms/d/e/1FAIpQLSfi1k5scAeHr2EMk_5fJRigq4SkbfNvFeYiAU4hvybuQIBqAw/viewform?usp=sf_link ",21/07/18,0
13,"winespirit","자유게시판","김준철와인스쿨 마스터코스(와인테이스팅) 개강 1월 7일(월)","[제41기 마스터 코스(와인 테이스팅) 개강, 01월 07일(월)]
  문의: (02)3444-7600 www.jckwineschool.com, 강남구 논현동 216-5 선기빌딩 5층",21/07/18,0
14,"winespirit","자유게시판","아날로그 와인 테이스팅 다이어리","안녕하세요, 
와인을 좀 더 잘 기억하고자 또 와인 문화를 조금 더 널리 퍼뜨리고자 하는 뜻을 모아
와인 테이스팅 다이어리를 제작했습니다.",21/07/18,0
15,"winespirit","자유게시판","쿠지노마쿨 더블유 까쇼 팝니다","쿠지노마쿨 더블유 까베르네쇼비뇽 자세한 정보는 와인21에 나와있습니다..
  01074699310  문자주세요",21/07/18,0
16,"뮤즈와인아웃렛","자유게시판","[1/19 금요일] 스페인 프리미엄 와인 ""콘다도 데 오리자""의 와인 5종 디너","와인디너+시음회안내]
뮤즈앤비노+뮤즈와인아웃렛  와인디너를 개최합니다.

저희가 정성껏 준비한 5종의 정찬 디너 코스메뉴와 함께
스페인 프리미엄 와인 ""콘다도 데 오리자""의 와인 5종을 넉넉히 시음하실 수 있는 자리입니다.",21/07/18,0
17,"chloe1109","자유게시판","와인 수입사에서 일하고 싶습니다.","안녕하세요

현재 전혀 관련 없는 건설사에서 일하고 있는 32살 미혼 여성입니다.

이 쪽 분야로 이직하여 정착하고 싶어 여러 곳에 지원 했지만

신입 나이로도 많고 여자고 동종분야 경력도 전혀 없어 채용이 어려운 게 사실입니다.

와인 수입사에서 영업,마케팅이 너무 하고 싶습니다.

누구나 처음은 있기 마련이고 사회생활 경력과 나름의 센스도 갖춘 사람과 함께 일해 보시는건 어떠신지요?

sweetness110@naver.com 으로 연락주세요",21/07/18,0
18,"뉴욕뉴욕","자유게시판","아르망디 골드, 로제 // 돔페리뇽 로제 2004 분양합니다.","미국에서 직접 구매해온 제품이고 구매시 딜러 조언대로 케이스안에 보관된채로 세워서 햇빛 차단및 그늘보관 중입니다.
돔페리뇽 45 골드 55 로제 85 만원으로 국내 최저가로 판매 중입니다.
직거래만 합니다. 직거래는 경기도 평택시 부근이고 그외는 구매시 조율하겠습니다. ",21/07/18,0
19,"김상우","자유게시판","소장 와인 분양 합니다.","각 1병씩 소장하고 있습니다.


Dom Perignon 2006

Dom Perignon Rose 2004

Vaso Napa Valley 2011

Chateau Leoville Las Cases 1999

Chateau Brane Cantenac Margaux 2011

Chateau Montrose 2012

Chateau Talbot 2012

Concha y Toro Don Melchor Cabernet Sauvignon 2012

Silver Oak Alexander Valley Cabernet Sauvignon 2011

Sassicaia 2010


문의는 01083652124로 부탁드려요.",21/07/18,0
20,"강민건","자유게시판","이 와인을 국내에서 파는 곳이 있는지 궁금합니다.","제조 : Camille Cayran

이름 : Cotes du Rhone Le Pas de la Beaume

빈티지 : 2016

라벨에 갈색의 종달새 한마리가 앉이있는 그림입니다.",21/07/18,0
21,"강석호","자유게시판","샤토 마고 05년 분양합니다.","100만원 예상하고 있으며, 무조건 직거래 합니다

010 3376 7071 연락주세요.",21/07/18,0
22,"정인섭","자유게시판","이 사이트에서는 와인을 구매가 불가능 하나요?","제가 찾고있던 와인을 찾았는데 구매할 수 있는 방법은 수입사를 통해 직접 사는 수 밖에 없나요?",21/07/18,0
23,"김상미","자유게시판","씨네쿼넌와인 (미국 컬트와인(Sine Qua Non) 분양합니다","미국에서 지인을 통해 가져온 씨네쿼넌 와인입니다. 
이건희 회장 칠순 잔치에 삼성 사장단들에게 돌린 미국 컬트와인(Sine Qua Non) 이라고 합니다.   

Sine Qua Non, ""labels"" California 2007 
2007 빈티지 ‘레이블스(Labels)’와 ’픽처스(Pictures)’의 병에는 총을 든 자신의 실루엣 레이블이 붙어 있다.  ",21/07/18,0
