"WINE_NUM","WINE_TITLE","WINENERY","WINE_GRAPES","WINE_REGIONS","WINE_ALLERGENS","WINETYPE","WINE_REGION","WINE_COUNTRY","WINE_PRICE","WINE_ALCOHOL","WINESTYLE","WINE_IMAGENAME"
35,"Vi?a Ardanza Reserva2012","La Rioja Alta","100% Tempranillo","Spain / Rioja","Contains sulfites, egg allergens, milk allergens","Red wine","Rioja","Spain",28087,14.5,"Spanish Rioja Red","CbjCX1G9QOawd5UDGNy7sg_pb_x600.png"
36,"Veraton Garnacha2017","Alto Moncayo","100% Garnacha","Spain / Arag?n / Campo de Borja","Contains sulfites","Red wine","Campo de Borja","Spain",30031,15.5,"Spanish Grenache","i5YuCh0oQcGOhjr6lLgiJw_pb_x600.png"
37,"Vi?a Arana Gran Reserva2012","La Rioja Alta","100% Tempranillo","Spain / Rioja","Contains sulfites","Red wine","Rioja","Spain",36868,13.5,"Spanish Rioja Red","Mjc-2YuNSP68Im0TXCWaLA_pb_x600.png"
38,"Selecci?n Especial (Reserva)2016","Muga","70% Tempranillo, 20% Garnacha, 7% Mazuelo, 3% Graciano","Spain / Rioja","Contains sulfites, egg allergens","Red wine","Rioja","Spain",36734,13.5,"Spanish Rioja Red","DXqNhT6ESn-k-YiYG0D4hg_pb_x600.png"
39,"Ribera del Duero Crianza2018","Arzuaga","95% Tempranillo, 5% Cabernet Sauvignon","Spain / Castilla y Le?n / Ribera del Duero","Contains sulfites","Red wine","Ribera del Duero","Spain",25137,14.5,"Spanish Ribera Del Duero Red","u_K6vdDZTp2yCKPyw4JO5g_pb_x600.png"
40,"Reserva2014","La Vicalanda","100% Tempranillo","Spain / Rioja","Contains sulfites","Red wine","Rioja","Spain",28221,14.5,"Spanish Rioja Red","dxOFUGx_TimjeOmrMPZYBA_pb_x600.png"
41,"Bosque de Matasnos Etiqueta Blanca2018","Bosque de Matasnos","92% Tempranillo, 6% Merlot, 2% Malbec","Spain / Castilla y Le?n / Ribera del Duero","Contains sulfites","Red wine","Ribera del Duero","Spain",32444,15,"Spanish Ribera Del Duero Red","aNEJs9HdSZGvgJdMNIjZAA_pb_x600.png"
42,"Vi?a Arana Gran Reserva2014","La Rioja Alta","100% Tempranillo","Spain / Rioja","Contains sulfites","Red wine","Rioja","Spain",33181,13.5,"Spanish Rioja Red","Mjc-2YuNSP68Im0TXCWaLA_pb_x600.png"
43,"Empord? Finca Malave?na2017","Castillo Perelada","100% Merlot","Spain / Catalunya / Empord?","Contains sulfites","Red wine","Empord?","Spain",25674,15,"Spanish Red","wNQN2vk9TZGDampZmxHr6Q_pb_x600.png"
44,"Reserva Selecci?n de la Familia2016","Luis Ca?as","100% Tempranillo","Spain / Rioja","Contains sulfites","Red wine","Rioja","Spain",30165,14.5,"Spanish Rioja Red","_9NE0YaFTUCI70W1IF_c_A_pb_x600.png"
45,"Pinot Noir2019","Rockburn","100% Pinot Noir","New Zealand / South Island / Central Otago","Contains sulfites","Red wine","Central Otago","New Zealand",31593,14.4,"New Zealand Pinot Noir","wQXtSqEpTF-hV9rORZncaw_pb_x600.png"
46,"Vendimia Seleccionada2018","Emilio Moro","100% Tempranillo","Spain / Castilla y Le?n / Ribera del Duero","Contains sulfites","Red wine","Ribera del Duero","Spain",29025,13.5,"Spanish Ribera Del Duero Red","HIW2WHqpTDqh0oHdDWJeCg_pb_x600.png"
47,"Las Sabias2017","Dominio del Bendito","100% Tempranillo","Spain / Castilla y Le?n / Toro","Contains sulfites","Red wine","Toro","Spain",28891,16,"Spanish Toro Red","yCoPW1wxQzaXirhzoBAcZQ_pb_x600.png"
48,"Finca El Otero2016","?ster","100% Tempranillo","Spain / Castilla y Le?n / Ribera del Duero","Contains sulfites, egg allergens, milk allergens","Red wine","Ribera del Duero","Spain",34723,15,"Spanish Ribera Del Duero Red","jDVJ-PKjRJ-NexoqZid1hg_pb_x600.png"
49,"Primus Malbec (Primum)2003","Salentein","Malbec","Argentina / Mendoza / Uco Valley / Tunuy?n","Contains sulfites","Red wine","Tunuy?n","Argentina",29183,,"Argentinian Malbec","KyB8bahIRmW0SjBNHCE0Rg_pb_x600.png"
50,"Finca Terrerazo2018","Mustiguillo","100% Bobal","Spain / Valencia / El Terrerazo","Contains sulfites","Red wine","El Terrerazo","Spain",34522,14,"Spanish Red","0_-jhPeGSSKIvDR3z1maww_pb_x600.png"
51,"Wairau Reserve Sauvignon Blanc2020","Saint Clair","100% Sauvignon Blanc","New Zealand / South Island / Marlborough","Contains sulfites, egg allergens, milk allergens","White wine","Marlborough","New Zealand",24483,13,"New Zealand Sauvignon Blanc","jIQjYYx9RT254VbZPilmrQ_pb_x600.png"
52,"Pinot Gris2019","Maude","100% Pinot Gris","New Zealand / South Island / Central Otago","Contains sulfites","White wine","Central Otago","New Zealand",21007,,"New Zealand Pinot Gris","9HTGp5LRToeW_SRbvv5kkg_pb_x600.png"
53,"Marlborough Sauvignon Blanc2020","Craggy Range","100% Sauvignon Blanc","New Zealand / South Island / Marlborough","Contains sulfites","White wine","Marlborough","New Zealand",20138,,"New Zealand Sauvignon Blanc","dqa8XsMtQZuKbv-pQsJ5oQ_pb_x600.png"
54,"Rioja Blanco2018","Rem?rez de Ganuza","100% Malvasia","Spain / Rioja","Contains sulfites","White wine","Rioja","Spain",34924,14,"Spanish Rioja White","gf2Rdnx9RJaZAImV58Fdug_pb_x600.png"
55,"Chardonnay Fermentado en Barrica2019","Enate","100% Chardonnay","Spain / Arag?n / Somontano","Contains sulfites","White wine","Somontano","Spain",21384,14.5,"Spanish Chardonnay","gVC3njVPQUivFPQs8fG0jQ_pb_x600.png"
56,"Encore Noble Riesling2016","Pegasus Bay","100% Riesling","New Zealand / South Island / Canterbury","Contains sulfites","White wine","Canterbury","New Zealand",32383,,"New Zealand Riesling","5ZQHsQ_5Qq2MUTVX6NRnpQ_pb_x600.png"
57,"Muros de Melga?o Alvarinho2019","Anselmo Mendes","100% Albari?o","Portugal / Minho / Vinho Verde / Mon??o e Melga?o","Contains sulfites","White wine","Mon??o e Melga?o","Portugal",25852,12.5,"Portuguese Vinho Verde White","IzbJa1J9Q8itsmk0UXS26A_pb_x600.png"
58,"La Mar2018","Terras Gauda","100% Cai?o Blanco","Spain / Galicia / R?as Baixas","Contains sulfites","White wine","R?as Baixas","Spain",27484,12.5,"Spanish Albari?o","nn-zEs7gSsGmW67creCsEw_pb_x600.png"
59,"Ekam2019","Castell d'Encus","100% Riesling","Spain / Catalunya / Costers del Segre","Contains sulfites","White wine","Costers del Segre","Spain",32109,12,"","HapY7wtrSAClntWjGNy1BQ_pb_x600.png"
60,"Blanc2016","Andr?a Calek","100% Viognier","France / Vin de Pays","Contains sulfites","White wine","Vin de Pays","France",38477,,"","qRoqxqtKRy6BoPfLuKOo7Q_pb_x600.png"
61,"Dido Macabeu - Garnatxa - Cartoixa2019","Venus la Universal","100% Macabeo","Spain / Catalunya / Tarragona / Montsant","Contains sulfites","White wine","Montsant","Spain",23596,14,"","Ni_t6SfNSfueNBvJpreUpA_pb_x600.png"
62,"Sauvignon Blanc2019","Cloudy Bay","100% Sauvignon Blanc","New Zealand / South Island / Marlborough","Contains sulfites, egg allergens, milk allergens","White wine","Marlborough","New Zealand",35729,13,"New Zealand Sauvignon Blanc","OLcgV2fIQrin6TBXwbw6mg_pb_x600.png"
